category,word
animal,zebra
animal,turtle
animal,tiger
animal,sheep
animal,rat
animal,puppy
animal,oyster
animal,mouse
animal,monkey
animal,lion
animal,kitten
animal,horse
animal,elephant
animal,dog
animal,deer
animal,cow
animal,cat
animal,camel
animal,bull
animal,bear
assets,wager
assets,venture
assets,trove
assets,taxation
assets,quota
assets,profit
assets,payoff
assets,mortgage
assets,margin
assets,investment
assets,interest
assets,income
assets,hoard
assets,gold
assets,gain
assets,fund
assets,dispensation
assets,credit
assets,capital
assets,allotment
assets,allocation
atmospheric_phenomenon,wind
atmospheric_phenomenon,typhoon
atmospheric_phenomenon,twister
atmospheric_phenomenon,tornado
atmospheric_phenomenon,thunderstorm
atmospheric_phenomenon,snowfall
atmospheric_phenomenon,shower
atmospheric_phenomenon,sandstorm
atmospheric_phenomenon,rainstorm
atmospheric_phenomenon,lightning
atmospheric_phenomenon,hurricane
atmospheric_phenomenon,fog
atmospheric_phenomenon,drizzle
atmospheric_phenomenon,cyclone
atmospheric_phenomenon,crosswind
atmospheric_phenomenon,cloudburst
atmospheric_phenomenon,cloud
atmospheric_phenomenon,clemency
atmospheric_phenomenon,blast
atmospheric_phenomenon,aurora
atmospheric_phenomenon,airstream
chemical_element,zinc
chemical_element,titanium
chemical_element,silver
chemical_element,potassium
chemical_element,platinum
chemical_element,oxygen
chemical_element,nitrogen
chemical_element,neon
chemical_element,magnesium
chemical_element,lithium
chemical_element,iron
chemical_element,hydrogen
chemical_element,helium
chemical_element,germanium
chemical_element,copper
chemical_element,charcoal
chemical_element,carbon
chemical_element,calcium
chemical_element,cadmium
chemical_element,bismuth
chemical_element,aluminium
creator,tailor
creator,producer
creator,photographer
creator,painter
creator,originator
creator,musician
creator,manufacturer
creator,maker
creator,inventor
creator,farmer
creator,developer
creator,designer
creator,craftsman
creator,constructor
creator,builder
creator,artist
creator,architect
district,village
district,town
district,sultanate
district,suburb
district,state
district,shire
district,seafront
district,riverside
district,prefecture
district,parish
district,metropolis
district,land
district,kingdom
district,county
district,country
district,city
district,canton
district,caliphate
district,borough
district,borderland
district,anchorage
edible_fruit,watermelon
edible_fruit,strawberry
edible_fruit,pineapple
edible_fruit,pear
edible_fruit,peach
edible_fruit,orange
edible_fruit,olive
edible_fruit,melon
edible_fruit,mango
edible_fruit,lemon
edible_fruit,kiwi
edible_fruit,grape
edible_fruit,cherry
edible_fruit,berry
edible_fruit,banana
edible_fruit,apple
feeling,wonder
feeling,shame
feeling,sensitivity
feeling,sadness
feeling,pleasure
feeling,passion
feeling,pain
feeling,love
feeling,joy
feeling,happiness
feeling,fear
feeling,desire
feeling,anger
game,whist
game,volleyball
game,tennis
game,softball
game,soccer
game,rugby
game,raffle
game,nap
game,lotto
game,keno
game,handball
game,golf
game,football
game,faro
game,curling
game,chess
game,bowling
game,beano
game,basketball
game,baccarat
illness,smallpox
illness,rheumatism
illness,plague
illness,meningitis
illness,malnutrition
illness,leukemia
illness,hepatitis
illness,glaucoma
illness,flu
illness,eczema
illness,diabetes
illness,cirrhosis
illness,cholera
illness,cancer
illness,asthma
illness,arthritis
illness,anthrax
illness,acne
legal_document,treaty
legal_document,straddle
legal_document,statute
legal_document,share
legal_document,sequestration
legal_document,rescript
legal_document,opinion
legal_document,obligation
legal_document,licence
legal_document,law
legal_document,floater
legal_document,draft
legal_document,decree
legal_document,convention
legal_document,constitution
legal_document,cheque
legal_document,check
legal_document,bond
legal_document,bill
legal_document,assignment
legal_document,acceptance
monetary_unit,zloty
monetary_unit,yuan
monetary_unit,shilling
monetary_unit,rupee
monetary_unit,rouble
monetary_unit,riel
monetary_unit,pound
monetary_unit,peso
monetary_unit,penny
monetary_unit,mark
monetary_unit,lira
monetary_unit,guilder
monetary_unit,franc
monetary_unit,fen
monetary_unit,escudo
monetary_unit,drachma
monetary_unit,dollar
monetary_unit,dirham
monetary_unit,dinar
monetary_unit,cordoba
monetary_unit,cent
motivation,wanderlust
motivation,urge
motivation,superego
motivation,possession
motivation,occasion
motivation,obsession
motivation,motivator
motivation,morality
motivation,mania
motivation,life
motivation,inducement
motivation,incitement
motivation,incentive
motivation,impulse
motivation,ethics
motivation,dynamic
motivation,disincentive
motivation,deterrence
motivation,conscience
motivation,compulsion
pain,torment
pain,toothache
pain,throb
pain,tenderness
pain,suffering
pain,stitch
pain,stinging
pain,sting
pain,soreness
pain,sciatica
pain,neuralgia
pain,migraine
pain,lumbago
pain,headache
pain,earache
pain,burn
pain,bellyache
pain,backache
pain,ache
physical_property,weight
physical_property,visibility
physical_property,temperature
physical_property,stretch
physical_property,snap
physical_property,shortness
physical_property,reflexion
physical_property,radius
physical_property,poundage
physical_property,plasticity
physical_property,momentum
physical_property,mass
physical_property,length
physical_property,heaviness
physical_property,glow
physical_property,extension
physical_property,diameter
physical_property,deflection
physical_property,coolness
physical_property,chill
social_occasion,wedding
social_occasion,rededication
social_occasion,prom
social_occasion,party
social_occasion,pageantry
social_occasion,inaugural
social_occasion,graduation
social_occasion,funeral
social_occasion,fundraiser
social_occasion,fiesta
social_occasion,fete
social_occasion,feast
social_occasion,enthronement
social_occasion,dance
social_occasion,coronation
social_occasion,commencement
social_occasion,commemoration
social_occasion,ceremony
social_occasion,celebration
social_occasion,ball
