word,category
chicken,bird-animal-natural
eagle,bird-animal-natural
duck,bird-animal-natural
swan,bird-animal-natural
owl,bird-animal-natural
penguin,bird-animal-natural
peacock,bird-animal-natural
dog,groundAnimal-animal-natural
elephant,groundAnimal-animal-natural
cow,groundAnimal-animal-natural
cat,groundAnimal-animal-natural
lion,groundAnimal-animal-natural
pig,groundAnimal-animal-natural
snail,groundAnimal-animal-natural
turtle,groundAnimal-animal-natural
cherry,fruitTree-vegetable-natural
banana,fruitTree-vegetable-natural
pear,fruitTree-vegetable-natural
pineapple,fruitTree-vegetable-natural
mushroom,green-vegetable-natural
corn,green-vegetable-natural
lettuce,green-vegetable-natural
potato,green-vegetable-natural
onion,green-vegetable-natural
bottle,tool-artifact-artifact
pencil,tool-artifact-artifact
pen,tool-artifact-artifact
cup,tool-artifact-artifact
bowl,tool-artifact-artifact
scissors,tool-artifact-artifact
kettle,tool-artifact-artifact
knife,tool-artifact-artifact
screwdriver,tool-artifact-artifact
hammer,tool-artifact-artifact
spoon,tool-artifact-artifact
chisel,tool-artifact-artifact
telephone,tool-artifact-artifact
boat,vehicle-artifact-artifact
car,vehicle-artifact-artifact
ship,vehicle-artifact-artifact
truck,vehicle-artifact-artifact
rocket,vehicle-artifact-artifact
motorcycle,vehicle-artifact-artifact
helicopter,vehicle-artifact-artifact
