node1,banana,boat,bottle,bowl,car,cat,cherry,chicken,chisel,corn,cow,cup,dog,duck,eagle,elephant,hammer,helicopter,kettle,knife,lettuce,lion,motorcycle,mushroom,onion,owl,peacock,pear,pen,pencil,penguin,pig,pineapple,potato,rocket,scissors,screwdriver,ship,snail,spoon,swan,telephone,truck,turtle
banana,1.0,0.00046878294816934626,0.0012718336704910021,0.0020728917946269097,0.00011780704809265514,0.0011076398809216766,0.00012606570232966886,0.0023872381608137563,0.000449164136357401,0.0005431083005530108,3.620824827057536e-05,0.0019495837911516593,0.00023073242398631956,0.0015023245883344551,0.0010294480947750514,2.3355452255367436e-05,0.0002805538633508684,8.929855334819479e-06,0.00022599902499676478,0.0003216535052439378,4.2974264067312646e-05,4.7731825931709365e-05,2.85486671467647e-05,0.0011197520967060654,6.475691541734005e-05,8.929855334819479e-06,7.268026569572355e-06,9.447364507366883e-05,0.00015304156857109353,0.0005431931072849071,2.651835554997011e-06,0.0014655895822546607,7.362865752347704e-05,0.00010428305097964145,0.001633392333100243,5.0860257050545526e-05,4.2974264067312646e-05,0.004155745051733466,0.0014042807953423319,0.0009936521640622916,0.0013846619835303866,0.00013493744443580585,0.0014042807953423319,0.000449164136357401
boat,0.00046878294816934626,1.0,0.007886956357550868,0.012668470681684783,0.0007234899652966883,0.006736247728126244,0.0007998570960892885,0.014514816594798243,0.002734692343193872,0.0033261076194643735,0.0002313544444911602,0.012093814606949832,0.0014042807953423319,0.009418066838939376,0.006271476732782829,0.00014735486632357826,0.0017503932296866545,5.827595211791339e-05,0.0014355566707542425,0.001964592043694062,0.00027428409273806535,0.0003036863282406906,0.00017509909791122284,0.00684724418142944,0.0004124926911857049,5.827595211791339e-05,4.650684646247571e-05,0.0005998171903933836,0.0009319571080841885,0.003367894485263811,1.8442586525587065e-05,0.009300626483172958,0.00046878294816934626,0.0006632818036006271,0.009974277688195553,0.00031155967391900707,0.00027428409273806535,0.02581411126015448,0.008903972650627687,0.006306233923918099,0.008422077174230285,0.0008218925886442033,0.008538900320023595,0.0028490655300487137
bottle,0.0012718336704910021,0.007886956357550868,1.0,0.023987380104792146,0.0014157275910237689,0.012005122692664448,0.002134800170455688,0.025829903286283793,0.004921343987206257,0.00642589230940794,0.0006279395190885338,0.026866161206113317,0.0024992068459819593,0.0230716071783906,0.011414318859768267,0.00034780200339531525,0.0040787077819677805,0.00015855935939320312,0.003893675345177848,0.003664711373950936,0.0007443625643409859,0.0008073527830523771,0.0003118313266740251,0.013035544891697233,0.0011191773268287625,0.00015855935939320312,0.00010047469339261679,0.0016010244961681829,0.0016586889039584822,0.007420353429833018,5.053327685367978e-05,0.02522334880111938,0.0012718336704910021,0.0017993047766410185,0.01869705569379209,0.0005728745242821073,0.0007443625643409859,0.0581457828517829,0.023984097048164156,0.017102706898238965,0.015042261321308996,0.0014628249109698388,0.015195533288589818,0.007674705337260386
bowl,0.0020728917946269097,0.012668470681684784,0.023987380104792146,1.0,0.0016886168694092852,0.012477350962364835,0.003439785770424956,0.02678107782068213,0.005196763903560615,0.007536314421478479,0.0010235405528548963,0.03707150992680108,0.002591249072861357,0.03480477533216958,0.012272218297531655,0.0005077841248003509,0.005890497819677716,0.0002585939348950531,0.006345694725154832,0.004090074875649979,0.0012132746370059075,0.0012969798498436902,0.0003233253803721352,0.014981957423247776,0.0018241084760683608,0.0002585939348950531,0.00013432480614490635,0.0025797636961451343,0.0017197797993639377,0.010154001956058804,8.254434101427175e-05,0.04110656229761652,0.0020728917946269097,0.0029325089522479124,0.021018930734917247,0.0006253761389462407,0.0012132746370059075,0.08133886570839498,0.03890190444697416,0.027872390739740276,0.01569037508697494,0.00151670328767973,0.015755106532452025,0.012448403704879587
car,0.00011780704809265515,0.0007234899652966884,0.0014157275910237689,0.0016886168694092852,1.0,0.0007892282686327104,0.00019611705775099403,0.0016954336884333642,0.0003271204802882772,0.00046165216560473495,5.80256625788732e-05,0.002186188730422933,0.00016378863827690173,0.002013566877012315,0.000769130473126917,2.9300487037004375e-05,0.0003436963259937111,1.4446766547360746e-05,0.00036122800100729777,0.0002536236032948299,6.883478537609983e-05,7.38138244855492e-05,2.0188857809393495e-05,0.0009227530786987413,0.00010363389911821677,1.4446766547360746e-05,7.695868663606166e-06,0.00014701216163966272,0.00010860918194296557,0.0005997132447316705,4.417247143010216e-06,0.002341549501016863,0.00011780704809265515,0.0001667793108092105,0.001302086823170625,3.876621189244062e-05,6.883478537609983e-05,0.004782570832316635,0.0022180048187071897,0.0015876006987827125,0.0009915521219877248,9.575083816687833e-05,0.0009972942132497574,0.0007095558238341556
cat,0.0011076398809216766,0.006736247728126244,0.012005122692664448,0.012477350962364835,0.0007892282686327104,1.0,0.0018309134002950363,0.01151417438436548,0.002261188595678674,0.0034909390603846758,0.0005468527278376389,0.018585027686386098,0.0011139179007014991,0.01808932835670591,0.005401841676108439,0.0002604066930416052,0.003009562826109125,0.00013805515932991172,0.003391082160032717,0.001841722629446259,0.0006482491265443075,0.0006895202193992957,0.00013883914619022125,0.0068623188166880315,0.0009746867920077556,0.00013805515932991172,6.623460049495493e-05,0.0013731094185476945,0.0007392354646870652,0.00507201998424292,4.397193283342654e-05,0.021967748569436236,0.0011076398809216766,0.0015670306352990459,0.009505827561199024,0.00027771949012133723,0.0006482491265443075,0.04101637985690015,0.020755740964740293,0.014895232622502612,0.006772847147919792,0.0006519240649520085,0.006773631134780103,0.006641631390564748
cherry,0.00012606570232966886,0.0007998570960892885,0.002134800170455688,0.003439785770424956,0.00019611705775099408,0.0018309134002950367,1.0,0.003945483089780822,0.0007430343179754226,0.0009026180092997796,6.210418329446519e-05,0.0032733329203998556,0.00038151898113103884,0.0025434206313279277,0.0017039501355655563,3.961264868647579e-05,0.00047307734088220975,1.5478091174031727e-05,0.0003865075401962056,0.0005333918629340486,7.366911956362006e-05,8.163381867871145e-05,4.7378598185324766e-05,0.0018589008505002635,0.00011090151484678886,1.5478091174031727e-05,1.2376251004289884e-05,0.00016143404965714551,0.00025312265204104024,0.0009115627056664275,4.747271023544929e-06,0.0025053003756262873,0.00012606570232966886,0.00017846228509571765,0.0027086985704985397,8.442622072788305e-05,7.366911956362006e-05,0.006985041370241676,0.0023988739041352113,0.001698632710579428,0.0022890912999283786,0.0002232027461790561,0.0023209918069396714,0.0007674339311711224
chicken,0.0023872381608137563,0.014514816594798245,0.025829903286283793,0.02678107782068213,0.001695433688433364,0.01151417438436548,0.003945483089780822,1.0,0.004847278559442517,0.007496281156947602,0.0011787799089981936,0.039988543161202594,0.0023872381608137563,0.03895610664430147,0.011583164119512018,0.0005609675260490335,0.0064788444192452445,0.00029784889574570317,0.00730790128506823,0.003951950801626984,0.00139728226599333,0.0014860456713465082,0.00029784889574570317,0.014731010691765304,0.0021007332783127856,0.00029784889574570317,0.0001428101560768853,0.002959036685662034,0.0015843722835744514,0.010912505396208489,9.510592848647978e-05,0.04733935651761082,0.0023872381608137563,0.003377194055634183,0.020398473873914216,0.0005960003181857375,0.00139728226599333,0.08826533653363329,0.04472587295528489,0.032098564694606466,0.014514816594798245,0.00139728226599333,0.014514816594798245,0.01431207362753902
chisel,0.000449164136357401,0.002734692343193872,0.004921343987206257,0.005196763903560615,0.00032712048028827717,0.002261188595678674,0.0007430343179754227,0.0048472785594425175,1.0,0.0014498389755308976,0.00022166573152486302,0.0076166659315802885,0.00046878294816934626,0.007370443985158789,0.0022641450496668145,0.00010614339882836408,0.001229448381820298,5.582599317944608e-05,0.0013755039663054835,0.000768651510781926,0.0002627999102139999,0.00027976094798222087,5.827595211791339e-05,0.002855847736253301,0.00039522813679119325,5.582599317944608e-05,2.7031156275236667e-05,0.0005572001068079843,0.0003110420881927488,0.002079760934515558,1.7658599665277527e-05,0.008911628772310396,0.000449164136357401,0.0006355283625008022,0.003965003345694475,0.00011603777795066888,0.0002627999102139999,0.016793837090590374,0.008422077174230285,0.00604247228890756,0.0028490655300487137,0.00027428409273806535,0.0028515154889871813,0.0026948589776015454
corn,0.0005431083005530108,0.0033261076194643735,0.00642589230940794,0.007536314421478481,0.00046165216560473495,0.0034909390603846758,0.0009026180092997797,0.007496281156947602,0.0014498389755308976,1.0,0.0002680598786564323,0.009925700962425801,0.0007251187616989869,0.009209587632052424,0.00341357829224584,0.0001347173966442627,0.0015673149685753837,6.75575570985076e-05,0.001663064761587167,0.0011304536772885148,0.00031779161608460076,0.0003403218722723202,9.02866683440539e-05,0.004121729696070609,0.00047789900128332983,6.75575570985076e-05,3.590697132551883e-05,0.000676887875301252,0.00048117904493468557,0.002721649918833316,2.1412700119377214e-05,0.010774334076346108,0.0005431083005530108,0.0007684249850214211,0.005803413138005659,0.00017329949296725694,0.00031779161608460076,0.021737641525622384,0.010202227140595052,0.007305487938654783,0.004387186989699725,0.000424334325048099,0.004409916100945272,0.0032645069668382717
