node1,banana,boat,bottle,bowl,car,cat,cherry,chicken,chisel,corn,cow,cup,dog,duck,eagle,elephant,hammer,helicopter,kettle,knife,lettuce,lion,motorcycle,mushroom,onion,owl,peacock,pear,pen,pencil,penguin,pig,pineapple,potato,rocket,scissors,screwdriver,ship,snail,spoon,swan,telephone,truck,turtle
banana,1.0,2.85486671467647e-05,0.00030774407421320317,0.00030774407421320317,9.82723855960798e-05,0.00014352680548222307,0.00012606570232966886,0.00018992902203001134,8.929855334819479e-06,4.5138103605394846e-05,3.620824827057536e-05,0.0003716073939135457,0.00023073242398631956,0.0002205384557091067,0.00020638021318481956,2.3355452255367436e-05,7.783612329197018e-05,8.929855334819479e-06,0.00022599902499676478,2.3355452255367436e-05,4.2974264067312646e-05,4.7731825931709365e-05,2.85486671467647e-05,7.783612329197018e-05,6.475691541734005e-05,8.929855334819479e-06,7.268026569572355e-06,9.447364507366883e-05,0.00015304156857109353,0.0002438807545128607,2.651835554997011e-06,8.98574540590935e-05,7.362865752347704e-05,0.00010428305097964145,0.00010562944002555924,5.0860257050545526e-05,4.2974264067312646e-05,2.85486671467647e-05,2.85486671467647e-05,0.0002807682079717785,8.929855334819479e-06,0.00013493744443580585,2.85486671467647e-05,8.929855334819479e-06
boat,2.85486671467647e-05,1.0,8.801027396560867e-05,3.816573176046333e-05,1.4559356572106486e-05,1.8442586525587065e-05,4.7378598185324766e-05,2.3453217926854985e-05,3.300354097532474e-06,1.334713730567735e-05,1.3945580609046963e-05,0.00011991078097690173,2.85486671467647e-05,2.8059651139285702e-05,3.0509610077753004e-05,6.479896396352175e-06,1.4559356572106486e-05,3.300354097532474e-06,8.801027396560867e-05,8.929855334819479e-06,1.658597701752981e-05,1.7658599665277527e-05,3.300354097532474e-06,2.2215478254816815e-05,2.508652388583319e-05,3.300354097532474e-06,1.4268560857633587e-06,3.545831696541077e-05,1.8846784714424268e-05,7.106312961585926e-05,8.503951590651691e-07,3.488185603871258e-05,2.85486671467647e-05,4.051135727599959e-05,1.5478091174031727e-05,6.903234889396158e-06,1.658597701752981e-05,3.300354097532474e-06,3.300354097532474e-06,0.00010938361366317502,3.300354097532474e-06,1.658597701752981e-05,3.300354097532474e-06,8.503951590651691e-07
bottle,0.0003077440742132032,8.801027396560867e-05,1.0,0.0009426206053519021,0.0003120663778975612,0.00044322216298356583,0.0005194263194099266,0.0005819916041570101,3.816573176046333e-05,0.00017201982914850437,0.0001518257023261128,0.001445479346244436,0.0007068898223403438,0.0006789529459951242,0.0006531899636140246,8.806422335246603e-05,0.0002601449797672014,3.816573176046333e-05,0.0009426206053519021,9.827238559607979e-05,0.0001800174348125182,0.0001965739973295481,8.801027396560867e-05,0.0002920454867784944,0.0002707784821042991,3.816573176046333e-05,2.613736411679343e-05,0.0003894941078838621,0.0004690800088132493,0.0009174387272586777,1.200731601120304e-05,0.0003753640597782718,0.0003077440742132032,0.0004354707136138882,0.00033458614206584585,0.00015970822722383347,0.0001800174348125182,8.801027396560867e-05,8.801027396560867e-05,0.0011708255344144594,3.816573176046333e-05,0.0004136637263991371,8.801027396560867e-05,2.795756951684956e-05
bowl,0.0003077440742132032,3.816573176046333e-05,0.0009426206053519021,1.0,0.00015837903943169624,0.00019984060924750454,0.0005087928170728289,0.00025333953827145887,3.816573176046333e-05,0.00014543607330576018,0.0001518257023261128,0.001283224977087062,0.0003077440742132032,0.000302522809550016,0.0003286812252992763,7.211396984681952e-05,0.00015837903943169624,3.816573176046333e-05,0.0009426206053519021,9.827238559607979e-05,0.0001800174348125182,0.00019146991620774118,3.816573176046333e-05,0.00024012408864813466,0.0002707784821042991,3.816573176046333e-05,1.8162237363970174e-05,0.00038151898113103884,0.00020415626699290173,0.0007616745328675983,1.200731601120304e-05,0.0003753640597782718,0.0003077440742132032,0.0004354707136138882,0.00016818844533766884,7.663399021525789e-05,0.0001800174348125182,3.816573176046333e-05,3.816573176046333e-05,0.0011708255344144594,3.816573176046333e-05,0.0001800174348125182,3.816573176046333e-05,1.200731601120304e-05
car,9.827238559607979e-05,1.4559356572106486e-05,0.0003120663778975612,0.00015837903943169627,1.0,7.620441235834256e-05,0.00016315241863081937,9.768991986806184e-05,1.200731601120304e-05,4.769491360484654e-05,4.837850659221089e-05,0.00041873369821657225,0.0001187086479001894,0.00011587480388984942,0.00012158712134533828,2.3687405178326124e-05,5.568599061117545e-05,1.200731601120304e-05,0.0003014328755604635,3.124144523860031e-05,5.73998609878606e-05,6.132598398776846e-05,1.4559356572106486e-05,7.929236579953229e-05,8.644339612123049e-05,1.200731601120304e-05,6.014524294069784e-06,0.00012228868229953178,7.868838286678514e-05,0.00025150525911830956,3.6366229714397516e-06,0.00011991078097690173,9.827238559607979e-05,0.00013914491020429904,6.213414642839148e-05,2.8570559651576366e-05,5.73998609878606e-05,1.4559356572106486e-05,1.4559356572106486e-05,0.00037445845286048185,1.200731601120304e-05,6.936255111709549e-05,1.4559356572106486e-05,4.453275950928853e-06
cat,0.00014352680548222307,1.8442586525587065e-05,0.00044322216298356583,0.00019984060924750448,7.620441235834256e-05,1.0,0.00023756526359999005,0.00012329415836758405,1.7658599665277527e-05,6.816207522480988e-05,7.072731593581095e-05,0.0006015383979355485,0.00014980482526204557,0.00014700969087033468,0.00015840660381537955,3.376016947293128e-05,7.538775937885346e-05,1.7658599665277527e-05,0.00043995555106560944,4.5722859602166175e-05,8.389025311633472e-05,8.931778520216543e-05,1.8442586525587065e-05,0.00011277116603271249,0.0001262672856210366,1.7658599665277527e-05,8.444251855930507e-06,0.00017809831602640975,9.93277500695344e-05,0.00035792039415240154,5.445033740743585e-06,0.00017509909791122284,0.00014352680548222307,0.00020316335784811146,8.09844162294217e-05,3.692637079206882e-05,8.389025311633472e-05,1.8442586525587065e-05,1.8442586525587065e-05,0.0005465061912926632,1.7658599665277527e-05,8.756519152403569e-05,1.8442586525587065e-05,5.695909536042637e-06
cherry,0.00012606570232966886,4.7378598185324766e-05,0.0005194263194099265,0.0005087928170728289,0.0001631524186308194,0.0002375652635999901,1.0,0.0003140849569132172,1.5478091174031727e-05,7.649660536506257e-05,6.210418329446519e-05,0.0006300745571663885,0.00038151898113103884,0.00036483909954178014,0.0003423402248888366,3.961264868647579e-05,0.00012992272382738917,1.5478091174031727e-05,0.0003865075401962056,4.0135306593348814e-05,7.366911956362006e-05,8.163381867871145e-05,4.7378598185324766e-05,0.00013155602978636737,0.00011090151484678886,1.5478091174031727e-05,1.2376251004289884e-05,0.00016143404965714551,0.00025312265204104024,0.0004119681323545939,4.747271023544929e-06,0.00015380506967640055,0.00012606570232966886,0.00017846228509571765,0.00017531110547513168,8.442622072788305e-05,7.366911956362006e-05,4.7378598185324766e-05,4.7378598185324766e-05,0.000480122768071546,1.5478091174031727e-05,0.0002232027461790561,4.7378598185324766e-05,1.4955433267158699e-05
chicken,0.00018992902203001134,2.3453217926854985e-05,0.00058199160415701,0.0002533395382714589,9.768991986806184e-05,0.00012329415836758405,0.0003140849569132171,1.0,2.3453217926854985e-05,8.969710162572522e-05,9.364296248163042e-05,0.0007923289263237627,0.00018992902203001134,0.0001867046746090316,0.0002028585809514382,4.44176625550518e-05,9.768991986806184e-05,2.3453217926854985e-05,0.00058199160415701,6.0571568897458405e-05,0.00011105252621747906,0.00011812490833801396,2.3453217926854985e-05,0.0001481708771880825,0.00016710123618309021,2.3453217926854985e-05,1.1100230723838164e-05,0.00023548808601132998,0.00012595925596727337,0.0004702499017559226,7.299311584448372e-06,0.00023168716687194018,0.00018992902203001134,0.00026880551784254364,0.00010374763474646431,4.7208962548041183e-05,0.00011105252621747906,2.3453217926854985e-05,2.3453217926854985e-05,0.0007229176100087343,2.3453217926854985e-05,0.00011105252621747906,2.3453217926854985e-05,7.299311584448372e-06
chisel,8.929855334819479e-06,3.300354097532474e-06,3.816573176046333e-05,3.816573176046333e-05,1.200731601120304e-05,1.7658599665277527e-05,1.5478091174031727e-05,2.3453217926854985e-05,1.0,5.3720105528540935e-06,4.256867642749806e-06,4.614085851328659e-05,2.85486671467647e-05,2.727566427897616e-05,2.5507610578382255e-05,2.651835554997011e-06,9.4552754502996e-06,8.503951590651691e-07,2.795756951684956e-05,2.651835554997011e-06,5.101794493464317e-06,5.695909536042637e-06,3.300354097532474e-06,9.4552754502996e-06,7.821969491321396e-06,8.503951590651691e-07,6.428692254538209e-07,1.1532936706940992e-05,1.8846784714424268e-05,3.0190605007640077e-05,6.640829875563143e-08,1.0956475780242801e-05,8.929855334819479e-06,1.2757916176174643e-05,1.2926050613128285e-05,6.086581909907057e-06,5.101794493464317e-06,3.300354097532474e-06,3.300354097532474e-06,3.479703822007079e-05,8.503951590651691e-07,1.658597701752981e-05,3.300354097532474e-06,8.503951590651691e-07
corn,4.513810360539484e-05,1.334713730567735e-05,0.00017201982914850434,0.00014543607330576018,4.769491360484654e-05,6.816207522480988e-05,7.649660536506256e-05,8.969710162572522e-05,5.3720105528540935e-06,1.0,2.2138242308489415e-05,0.00021499413195304054,0.00010900142330573734,0.00010459672522483273,0.00010014798685206117,1.2931830234398561e-05,3.938748990398898e-05,5.3720105528540935e-06,0.00013879013434507412,1.4238475001581125e-05,2.6296866651849894e-05,2.880290030154165e-05,1.334713730567735e-05,4.347075480143449e-05,3.9685227969427715e-05,5.3720105528540935e-06,3.6972714647694574e-06,5.729682235021412e-05,7.224543746571427e-05,0.00013702065309679145,1.5133252247680871e-06,5.5112876110212756e-05,4.513810360539484e-05,6.397934055893979e-05,5.117557792484872e-05,2.4338425721411492e-05,2.6296866651849894e-05,1.334713730567735e-05,1.334713730567735e-05,0.00017245314436874112,5.3720105528540935e-06,6.368027330570892e-05,1.334713730567735e-05,4.065365785671529e-06
