node1,banana,boat,bottle,bowl,car,cat,cherry,chicken,chisel,corn,cow,cup,dog,duck,eagle,elephant,hammer,helicopter,kettle,knife,lettuce,lion,motorcycle,mushroom,onion,owl,peacock,pear,pen,pencil,penguin,pig,pineapple,potato,rocket,scissors,screwdriver,ship,snail,spoon,swan,telephone,truck,turtle
banana,1.0,2.85486671467647e-05,0.00030774407421320317,0.0005502744224399156,0.00011780704809265514,0.00014352680548222307,0.00012606570232966886,0.00018992902203001134,8.929855334819479e-06,0.00014119154176740176,3.620824827057536e-05,0.0006937602751431262,0.00023073242398631956,0.0003294817657861616,0.0002418807056064805,2.3355452255367436e-05,0.00014154917635772363,8.929855334819479e-06,0.00022599902499676478,2.3355452255367436e-05,4.2974264067312646e-05,4.7731825931709365e-05,2.85486671467647e-05,0.00015982159912375109,6.475691541734005e-05,8.929855334819479e-06,7.268026569572355e-06,9.447364507366883e-05,0.00015304156857109353,0.00032089240473974435,2.651835554997011e-06,8.98574540590935e-05,7.362865752347704e-05,0.00010428305097964145,0.0001816448224651175,5.0860257050545526e-05,4.2974264067312646e-05,2.85486671467647e-05,2.85486671467647e-05,0.0002807682079717785,8.929855334819479e-06,0.00013493744443580585,2.85486671467647e-05,8.929855334819479e-06
boat,2.85486671467647e-05,1.0,8.801027396560867e-05,0.00011237545900824151,2.0188857809393495e-05,1.8442586525587065e-05,4.7378598185324766e-05,2.3453217926854985e-05,3.300354097532474e-06,3.7145290836184445e-05,1.3945580609046963e-05,0.00019952277699014935,2.85486671467647e-05,4.166427912939597e-05,3.8132893003245826e-05,6.479896396352175e-06,2.634377916216062e-05,3.300354097532474e-06,8.801027396560867e-05,8.929855334819479e-06,1.658597701752981e-05,1.7658599665277527e-05,3.300354097532474e-06,4.7829708884472694e-05,2.508652388583319e-05,3.300354097532474e-06,1.4268560857633587e-06,3.545831696541077e-05,1.8846784714424268e-05,9.513511146905004e-05,8.503951590651691e-07,3.488185603871258e-05,2.85486671467647e-05,4.051135727599959e-05,4.493846741776755e-05,6.903234889396158e-06,1.658597701752981e-05,3.300354097532474e-06,3.300354097532474e-06,0.00010938361366317502,3.300354097532474e-06,1.658597701752981e-05,3.300354097532474e-06,8.503951590651691e-07
bottle,0.0003077440742132032,8.801027396560867e-05,1.0,0.001868012630029414,0.00038515338126576755,0.00044322216298356583,0.0005194263194099266,0.0005819916041570101,3.816573176046333e-05,0.0005152170089046998,0.0001518257023261128,0.0025956738449520247,0.0007068898223403438,0.0010124257609870845,0.0007751479829724322,8.806422335246603e-05,0.00047111933473021527,3.816573176046333e-05,0.0009426206053519021,9.827238559607979e-05,0.0001800174348125182,0.0001965739973295481,8.801027396560867e-05,0.0006070678802348369,0.0002707784821042991,3.816573176046333e-05,2.613736411679343e-05,0.0003894941078838621,0.0004690800088132493,0.0012133983321014532,1.200731601120304e-05,0.0003753640597782718,0.0003077440742132032,0.0004354707136138882,0.0006504662220437041,0.00015970822722383347,0.0001800174348125182,8.801027396560867e-05,8.801027396560867e-05,0.0011708255344144594,3.816573176046333e-05,0.0004136637263991371,8.801027396560867e-05,2.795756951684956e-05
bowl,0.0005502744224399156,0.00011237545900824151,0.0018680126300294135,1.0,0.0005376089609159867,0.0005718845424046596,0.0009189825153518873,0.000742644466951653,6.845244841706742e-05,0.0008162692202402956,0.0002715988543451356,0.004220519219740385,0.000902001655689552,0.001298129372128273,0.001054875136929423,0.00014318407734205244,0.0006729090997839575,6.845244841706742e-05,0.0016850000858995217,0.0001758820970286278,0.0003219864191403499,0.00034695335095273844,0.00011237545900824151,0.001000576613792961,0.00048420518854380603,6.845244841706742e-05,3.9727543053728e-05,0.0006891612548403327,0.0005985809673148428,0.0019925399950453016,2.1699065341316356e-05,0.0006711327771279211,0.0005502744224399156,0.0007785624257394814,0.0010108473749175211,0.00021041244118042286,0.0003219864191403499,0.00011237545900824151,0.00011237545900824151,0.0020928746517947456,6.845244841706742e-05,0.0005278755312864785,0.00011237545900824151,3.5754428730492064e-05
car,0.00011780704809265515,2.0188857809393495e-05,0.0003851533812657676,0.0005376089609159868,1.0,0.00010447283554010347,0.00019611705775099403,0.00013480827083866526,1.4446766547360746e-05,0.00016632651125969135,5.80256625788732e-05,0.00087100366474576,0.00016378863827690173,0.00023654621222426658,0.00019909880517821616,2.9300487037004375e-05,0.000130313630138305,1.4446766547360746e-05,0.00036122800100729777,3.749253723750443e-05,6.883478537609983e-05,7.38138244855492e-05,2.0188857809393495e-05,0.00020750523382270864,0.00010363389911821677,1.4446766547360746e-05,7.695868663606166e-06,0.00014701216163966272,0.00010860918194296557,0.0004128253485293263,4.417247143010216e-06,0.0001437335401190668,0.00011780704809265515,0.0001667793108092105,0.00020422493004881325,3.876621189244062e-05,6.883478537609983e-05,2.0188857809393495e-05,2.0188857809393495e-05,0.00044872511039420997,1.4446766547360746e-05,9.575083816687833e-05,2.0188857809393495e-05,6.254716346860695e-06
cat,0.00014352680548222307,1.8442586525587065e-05,0.00044322216298356583,0.0005718845424046596,0.00010447283554010347,1.0,0.00023756526359999005,0.00012329415836758405,1.7658599665277527e-05,0.00018820238586011423,7.072731593581095e-05,0.0010031423906484121,0.00014980482526204557,0.00021779201943513025,0.00019704829928680876,3.376016947293128e-05,0.00013547492106643583,1.7658599665277527e-05,0.00043995555106560944,4.5722859602166175e-05,8.389025311633472e-05,8.931778520216543e-05,1.8442586525587065e-05,0.00024111687112914713,0.0001262672856210366,1.7658599665277527e-05,8.444251855930507e-06,0.00017809831602640975,9.93277500695344e-05,0.00047853682872131824,5.445033740743585e-06,0.00017509909791122284,0.00014352680548222307,0.00020316335784811146,0.00022787155845067152,3.692637079206882e-05,8.389025311633472e-05,1.8442586525587065e-05,1.8442586525587065e-05,0.0005465061912926632,1.7658599665277527e-05,8.756519152403569e-05,1.8442586525587065e-05,5.695909536042637e-06
cherry,0.00012606570232966886,4.7378598185324766e-05,0.0005194263194099265,0.0009189825153518875,0.00019611705775099408,0.0002375652635999901,1.0,0.0003140849569132172,1.5478091174031727e-05,0.00023775799708085027,6.210418329446519e-05,0.001170884272786744,0.00038151898113103884,0.0005448850138008977,0.00040169090316767515,3.961264868647579e-05,0.00023603519424945184,1.5478091174031727e-05,0.0003865075401962056,4.0135306593348814e-05,7.366911956362006e-05,8.163381867871145e-05,4.7378598185324766e-05,0.00027033011578700433,0.00011090151484678886,1.5478091174031727e-05,1.2376251004289884e-05,0.00016143404965714551,0.00025312265204104024,0.000542325683974142,4.747271023544929e-06,0.00015380506967640055,0.00012606570232966886,0.00017846228509571765,0.00030519823360966244,8.442622072788305e-05,7.366911956362006e-05,4.7378598185324766e-05,4.7378598185324766e-05,0.000480122768071546,1.5478091174031727e-05,0.0002232027461790561,4.7378598185324766e-05,1.4955433267158699e-05
chicken,0.00018992902203001134,2.3453217926854985e-05,0.00058199160415701,0.000742644466951653,0.00013480827083866526,0.00012329415836758405,0.0003140849569132171,1.0,2.3453217926854985e-05,0.00024661121851885415,9.364296248163042e-05,0.0013172539392036114,0.00018992902203001134,0.0002764073561213233,0.0002531230145574637,4.44176625550518e-05,0.0001753910012331917,2.3453217926854985e-05,0.00058199160415701,6.0571568897458405e-05,0.00011105252621747906,0.00011812490833801396,2.3453217926854985e-05,0.00031705937410432815,0.00016710123618309021,2.3453217926854985e-05,1.1100230723838164e-05,0.00023548808601132998,0.00012595925596727337,0.00062896951710418,7.299311584448372e-06,0.00023168716687194018,0.00018992902203001134,0.00026880551784254364,0.00029799585302521335,4.7208962548041183e-05,0.00011105252621747906,2.3453217926854985e-05,2.3453217926854985e-05,0.0007229176100087343,2.3453217926854985e-05,0.00011105252621747906,2.3453217926854985e-05,7.299311584448372e-06
chisel,8.929855334819479e-06,3.300354097532474e-06,3.816573176046333e-05,6.845244841706742e-05,1.4446766547360746e-05,1.7658599665277527e-05,1.5478091174031727e-05,2.3453217926854985e-05,1.0,1.7366976489182756e-05,4.256867642749806e-06,8.637068173024886e-05,2.85486671467647e-05,4.088029226908643e-05,2.9940842802745777e-05,2.651835554997011e-06,1.741163719899857e-05,8.503951590651691e-07,2.795756951684956e-05,2.651835554997011e-06,5.101794493464317e-06,5.695909536042637e-06,3.300354097532474e-06,1.9693461700512236e-05,7.821969491321396e-06,8.503951590651691e-07,6.428692254538209e-07,1.1532936706940992e-05,1.8846784714424268e-05,3.9807669621338705e-05,6.640829875563143e-08,1.0956475780242801e-05,8.929855334819479e-06,1.2757916176174643e-05,2.241870324948288e-05,6.086581909907057e-06,5.101794493464317e-06,3.300354097532474e-06,3.300354097532474e-06,3.479703822007079e-05,8.503951590651691e-07,1.658597701752981e-05,3.300354097532474e-06,8.503951590651691e-07
corn,0.00014119154176740176,3.7145290836184445e-05,0.0005152170089046997,0.0008162692202402955,0.00016632651125969135,0.00018820238586011423,0.00023775799708085027,0.00024661121851885415,1.7366976489182756e-05,1.0,6.957405038383001e-05,0.001163185102920134,0.0002995725746242512,0.0004295652722872658,0.000333055881879125,3.928937363967437e-05,0.00020454685273499715,1.7366976489182756e-05,0.0004328073657921928,4.4975575213423336e-05,8.252326947839051e-05,8.980900083404539e-05,3.7145290836184445e-05,0.00027283533179855394,0.00012421225355199375,1.7366976489182756e-05,1.1343365129275762e-05,0.00017824286613705485,0.00019873262348035943,0.000545008538970535,5.351714324393261e-06,0.00017225121533217237,0.00014119154176740176,0.00019985981405641295,0.0002881255889783005,6.800033691769952e-05,8.252326947839051e-05,3.7145290836184445e-05,3.7145290836184445e-05,0.0005376280122818929,1.7366976489182756e-05,0.0001752341179799609,3.7145290836184445e-05,1.1680774915433798e-05
cow,3.6208248270575366e-05,1.3945580609046963e-05,0.0001518257023261128,0.00027159885434513566,5.80256625788732e-05,7.072731593581095e-05,6.210418329446519e-05,9.364296248163042e-05,4.256867642749806e-06,6.957405038383001e-05,1.0,0.00034245907028947534,0.00011379364507100182,0.0001625608200396156,0.00011929920278369779,1.1380921294438892e-05,6.975066754727814e-05,4.256867642749806e-06,0.0001114560649665413,1.1380921294438892e-05,2.1069634260736056e-05,2.3419147155063116e-05,1.3945580609046963e-05,7.877446883941766e-05,3.182695527478658e-05,4.256867642749806e-06,3.4361766620752234e-06,4.650250579726609e-05,7.542616362312376e-05,0.00015831898039405862,1.1564794935347153e-06,4.422280862872558e-05,3.6208248270575366e-05,5.134686228041468e-05,8.955182625436356e-05,2.4964116923659418e-05,2.1069634260736056e-05,1.3945580609046963e-05,1.3945580609046963e-05,0.00013850372199745423,4.256867642749806e-06,6.648547629025397e-05,1.3945580609046963e-05,4.256867642749806e-06
cup,0.0006937602751431262,0.00019952277699014935,0.0025956738449520243,0.0042205192197403854,0.00087100366474576,0.0010031423906484121,0.001170884272786744,0.0013172539392036118,8.637068173024886e-05,0.001163185102920134,0.00034245907028947534,1.0,0.0015998610379665483,0.0022910789183022903,0.0017530752499456748,0.0001990684586481089,0.0010650384345037523,8.637068173024886e-05,0.0021242067813691057,0.0002217975698936552,0.0004059781377958879,0.00044336860991360446,0.00019952277699014935,0.0013697575457151064,0.0006104727389226314,8.637068173024886e-05,5.94049485910513e-05,0.0008780875729164754,0.001061768962388683,0.0027376068088099032,2.743290000153441e-05,0.0008461155243269585,0.0006937602751431262,0.0009815424124903647,0.0014688006107277346,0.00036163071558799646,0.0004059781377958879,0.00019952277699014935,0.00019952277699014935,0.0026383775334295053,8.637068173024886e-05,0.0009363785843266712,0.00019952277699014935,6.364157048470256e-05
dog,0.00023073242398631956,2.85486671467647e-05,0.0007068898223403438,0.000902001655689552,0.00016378863827690173,0.00014980482526204557,0.00038151898113103884,0.00018992902203001134,2.85486671467647e-05,0.0002995725746242512,0.00011379364507100182,0.0015998610379665483,1.0,0.000335759785565984,0.0003074811076026724,5.400984571153183e-05,0.00021307609442210726,2.85486671467647e-05,0.0007068898223403438,7.362865752347704e-05,0.00013493744443580585,0.00014352680548222307,2.85486671467647e-05,0.00038513139102655937,0.0002030082299046415,2.85486671467647e-05,1.3546046349394824e-05,0.0002860636041746963,0.00015304156857109353,0.0007639441851608703,8.929855334819479e-06,0.000281447413160121,0.00023073242398631956,0.00032652740353683336,0.00036197887146895965,5.739986098786061e-05,0.00013493744443580585,2.85486671467647e-05,2.85486671467647e-05,0.0008780435191372616,2.85486671467647e-05,0.00013493744443580585,2.85486671467647e-05,8.929855334819479e-06
duck,0.0003294817657861616,4.166427912939597e-05,0.0010124257609870845,0.001298129372128273,0.00023654621222426658,0.00021779201943513025,0.0005448850138008977,0.0002764073561213233,4.088029226908643e-05,0.0004295652722872658,0.0001625608200396156,0.0022910789183022908,0.00033575978556598404,1.0,0.0004447765903063482,7.747500579960153e-05,0.00030721868928210584,4.088029226908643e-05,0.0010091591490691283,0.00010522844689942647,0.00019274193719668892,0.0002050828574418311,4.166427912939597e-05,0.0005513441707581566,0.00028990765068850243,4.088029226908643e-05,1.9590664305758782e-05,0.0004085881286770904,0.00022275104625877866,0.0010936622309462365,1.2875975373962432e-05,0.0004018734397452941,0.0003294817657861616,0.00046622159437563417,0.000519463903313808,8.336975599968661e-05,0.00019274193719668892,4.166427912939597e-05,4.166427912939597e-05,0.001253467642815653,4.088029226908643e-05,0.00019641687560438987,4.166427912939597e-05,1.3126851169261485e-05
eagle,0.00024188070560648053,3.8132893003245826e-05,0.0007751479829724322,0.0010548751369294231,0.00019909880517821616,0.00019704829928680878,0.00040169090316767515,0.0002531230145574637,2.9940842802745777e-05,0.000333055881879125,0.00011929920278369782,0.0017530752499456748,0.0003074811076026724,0.00044477659030634826,1.0,5.9252072448076226e-05,0.00025409258179634247,2.9940842802745777e-05,0.0007410144404703488,7.719610764192854e-05,0.00014146326782321712,0.00015130596290514688,3.8132893003245826e-05,0.0004190900818066192,0.0002128187177303831,2.9940842802745777e-05,1.552501869634575e-05,0.0003011925457021735,0.0002039817289982907,0.0008328220811281426,9.375351544733425e-06,0.00029504287855056116,0.00024188070560648053,0.00034229814338974403,0.00040702652327477047,7.383762930065617e-05,0.00014146326782321712,3.8132893003245826e-05,3.8132893003245826e-05,0.0009204269293097793,2.9940842802745777e-05,0.00017986350313806113,3.8132893003245826e-05,1.199680760889344e-05
elephant,2.3355452255367436e-05,6.479896396352175e-06,8.806422335246603e-05,0.00014318407734205242,2.9300487037004375e-05,3.376016947293128e-05,3.9612648686475784e-05,4.44176625550518e-05,2.651835554997011e-06,3.928937363967437e-05,1.138092129443889e-05,0.0001990684586481089,5.400984571153183e-05,7.747500579960153e-05,5.925207244807622e-05,1.0,3.5902672263073954e-05,2.651835554997011e-06,7.211396984681952e-05,7.268026569572355e-06,1.3546046349394824e-05,1.481759035070272e-05,6.479896396352175e-06,4.6343520557828925e-05,2.0516494781403594e-05,2.651835554997011e-06,1.7280569199631624e-06,2.963385484127404e-05,3.574605203265098e-05,9.290969926118503e-05,6.428692254538209e-07,2.85486671467647e-05,2.3355452255367436e-05,3.316485816134004e-05,4.967651320874991e-05,1.1986299206583838e-05,1.3546046349394824e-05,6.479896396352175e-06,6.479896396352175e-06,8.964010839882391e-05,2.651835554997011e-06,3.1490081543247156e-05,6.479896396352175e-06,1.8678486946874737e-06
hammer,0.00014154917635772365,2.634377916216062e-05,0.00047111933473021527,0.0006729090997839574,0.000130313630138305,0.00013547492106643583,0.0002360351942494519,0.0001753910012331917,1.741163719899857e-05,0.00020454685273499715,6.975066754727814e-05,0.0010650384345037523,0.00021307609442210732,0.00030721868928210584,0.0002540925817963425,3.5902672263073954e-05,1.0,1.741163719899857e-05,0.00043390207655037336,4.509001828232636e-05,8.273261655565211e-05,8.892099591077284e-05,2.634377916216062e-05,0.0002530953977490501,0.0001245269719914771,1.741163719899857e-05,9.629414688573011e-06,0.00017695076401350607,0.00014132258893292287,0.0005038237071525618,5.36600575153432e-06,0.0001726873550764674,0.00014154917635772365,0.00020036573615979516,0.000252189018729528,5.0012704364265103e-05,8.273261655565211e-05,2.634377916216062e-05,2.634377916216062e-05,0.000538987663396741,1.741163719899857e-05,0.00012460203200797423,2.634377916216062e-05,8.224291179746176e-06
helicopter,8.929855334819479e-06,3.300354097532474e-06,3.816573176046333e-05,6.845244841706742e-05,1.4446766547360746e-05,1.7658599665277527e-05,1.5478091174031727e-05,2.3453217926854985e-05,8.503951590651691e-07,1.7366976489182756e-05,4.256867642749806e-06,8.637068173024886e-05,2.85486671467647e-05,4.088029226908643e-05,2.9940842802745777e-05,2.651835554997011e-06,1.741163719899857e-05,1.0,2.795756951684956e-05,2.651835554997011e-06,5.101794493464317e-06,5.695909536042637e-06,3.300354097532474e-06,1.9693461700512236e-05,7.821969491321396e-06,8.503951590651691e-07,6.428692254538209e-07,1.1532936706940992e-05,1.8846784714424268e-05,3.9807669621338705e-05,6.640829875563143e-08,1.0956475780242801e-05,8.929855334819479e-06,1.2757916176174643e-05,2.241870324948288e-05,6.086581909907057e-06,5.101794493464317e-06,3.300354097532474e-06,3.300354097532474e-06,3.479703822007079e-05,8.503951590651691e-07,1.658597701752981e-05,3.300354097532474e-06,8.503951590651691e-07
kettle,0.0002259990249967648,8.801027396560867e-05,0.0009426206053519021,0.0016850000858995217,0.00036122800100729777,0.00043995555106560944,0.0003865075401962056,0.0005819916041570101,2.795756951684956e-05,0.0004328073657921928,0.00011145606496654133,0.002124206781369106,0.0007068898223403438,0.0010091591490691283,0.0007410144404703487,7.211396984681952e-05,0.00043390207655037336,2.795756951684956e-05,1.0,7.211396984681952e-05,0.00013216667429557865,0.00014672945512440275,8.801027396560867e-05,0.0004898335169683352,0.00019884283879383326,2.795756951684956e-05,2.2870752198837024e-05,0.0002898050234735714,0.0004690800088132493,0.0009828673244026561,8.740704093246637e-06,0.000275674975367981,0.0002259990249967648,0.00031983137569795096,0.0005566338713425178,0.00015630550647596222,0.00013216667429557865,8.801027396560867e-05,8.801027396560867e-05,0.0008600481367348583,2.795756951684956e-05,0.0004136637263991371,8.801027396560867e-05,2.795756951684956e-05
knife,2.3355452255367436e-05,8.929855334819479e-06,9.82723855960798e-05,0.0001758820970286278,3.7492537237504435e-05,4.5722859602166175e-05,4.0135306593348814e-05,6.0571568897458425e-05,2.651835554997011e-06,4.4975575213423336e-05,1.138092129443889e-05,0.0002217975698936552,7.362865752347704e-05,0.00010522844689942647,7.719610764192854e-05,7.268026569572355e-06,4.5090018282326354e-05,2.651835554997011e-06,7.211396984681952e-05,1.0,1.3546046349394824e-05,1.5068466146001772e-05,8.929855334819479e-06,5.093719356745512e-05,2.0516494781403594e-05,2.651835554997011e-06,2.1200503501179315e-06,3.002584827142881e-05,4.8767583790604714e-05,0.00010247985136457294,6.428692254538209e-07,2.85486671467647e-05,2.3355452255367436e-05,3.316485816134004e-05,5.792062503669239e-05,1.6069564104029345e-05,1.3546046349394824e-05,8.929855334819479e-06,8.929855334819479e-06,8.964010839882391e-05,2.651835554997011e-06,4.2974264067312646e-05,8.929855334819479e-06,2.651835554997011e-06
lettuce,4.297426406731265e-05,1.658597701752981e-05,0.0001800174348125182,0.0003219864191403499,6.883478537609983e-05,8.389025311633472e-05,7.366911956362006e-05,0.00011105252621747906,5.101794493464317e-06,8.252326947839051e-05,2.106963426073605e-05,0.00040597813779588785,0.00013493744443580585,0.00019274193719668895,0.00014146326782321712,1.3546046349394822e-05,8.273261655565213e-05,5.101794493464317e-06,0.00013216667429557862,1.3546046349394822e-05,1.0,2.7815143135546202e-05,1.658597701752981e-05,9.342866890649743e-05,3.778104917591539e-05,5.101794493464317e-06,4.129016679661121e-06,5.5176207999132236e-05,8.945987053421009e-05,0.00018771401853537152,1.4268560857633587e-06,5.2474047405234475e-05,4.297426406731265e-05,6.091829926116498e-05,0.00010620323866729731,2.9646419888035664e-05,2.503022887346032e-05,1.658597701752981e-05,1.658597701752981e-05,0.00016422668384192813,5.101794493464317e-06,7.886233445501732e-05,1.658597701752981e-05,5.101794493464317e-06
